"","Rk","Player","Age","Pos","GP","G","A","PTS","+/-","PIM","EV","PP","SH","GW","S","S%","TOI","ATOI","OPS","DPS","PS","BLK","HIT","FOW","FOL","FO%","TEAM"
"1001","25","Bryan Bickell","30","LW","11","1","0","1","-4","4","0","0","0","1","8","12.5","115","10:26","-0.1","0.0","-0.1","3","16","0","2","0.0","CAR"
"1002","26","Valentin Zykov","21","LW","2","1","0","1","1","0","0","0","0","0","3","33.3","13","6:15","0.2","0.1","0.2","0","0","0","0","","CAR"
"1003","27","Michael Leighton","35","G","4","0","1","1","0","0","1","0","0","0","0","","210","52:34","0.0","0.0","0.1","0","0","0","0","","CAR"
"1004","28","Sergey Tolchinsky","21","LW","2","0","1","1","0","0","1","0","0","0","2","0.0","23","11:29","0.0","0.0","0.1","0","0","0","0","","CAR"
"1005","29","Cam Ward","32","G","61","0","1","1","0","6","1","0","0","0","0","","3618","59:19","0.0","0.0","8.5","0","0","0","0","","CAR"
"1006","30","Jorge Alves","38","G","1","0","0","0","0","0","0","0","0","0","0","","0","0:08","0.0","0.0","0.0","","0","","","","CAR"
"1007","31","Patrick Brown","24","C","14","0","0","0","-6","0","0","0","0","0","12","0.0","136","9:43","-0.4","-0.1","-0.5","5","30","9","6","60.0","CAR"
"1008","32","Martin Frk","23","RW","2","0","0","0","-3","0","0","0","0","0","1","0.0","17","8:20","0.0","-0.1","-0.2","1","3","0","0","","CAR"
"1009","33","Eddie Lack","29","G","20","0","0","0","0","0","0","0","0","0","0","","1090","54:30","0.0","0.0","2.3","0","0","0","0","","CAR"
"1010","34","Jakub Nakladal","29","D","3","0","0","0","-4","0","0","0","0","0","3","0.0","44","14:30","-0.1","-0.2","-0.3","4","2","0","0","","CAR"
"1011","35","Alex Nedeljkovic","21","G","1","0","0","0","0","2","0","0","0","0","0","","30","29:57","0.0","0.0","0.3","0","0","0","0","","CAR"
"1012","36","Andrew Poturalski","23","C","2","0","0","0","-3","0","0","0","0","0","1","0.0","25","12:16","-0.1","-0.1","-0.2","1","1","12","12","50.0","CAR"
"1013","1","Kyle Palmieri","25","RW","80","26","27","53","2","46","16","11","0","3","192","13.5","1388","17:21","5.0","2.1","7.1","36","124","12","17","41.4","NJD"
"1014","2","Taylor Hall","25","LW","72","20","33","53","-9","32","25","8","0","4","238","8.4","1392","19:20","4.3","1.7","5.9","31","59","8","10","44.4","NJD"
"1015","3","Travis Zajac","31","C","80","14","31","45","-8","33","24","6","1","1","126","11.1","1578","19:44","2.2","2.0","4.2","26","81","880","733","54.6","NJD"
"1016","4","Adam Henrique","26","C","82","20","20","40","-20","38","15","4","1","2","142","14.1","1490","18:10","2.5","1.3","3.9","67","87","585","628","48.2","NJD"
"1017","5","Mike Cammalleri","34","LW","61","10","21","31","-9","21","12","9","0","3","142","7.0","1059","17:21","1.6","1.2","2.8","14","44","17","11","60.7","NJD"
"1018","6","Damon Severson","22","D","80","3","28","31","-31","58","15","13","0","1","125","2.4","1628","20:21","1.8","1.6","3.4","72","79","0","0","","NJD"
"1019","7","P.A. Parenteau","33","RW","59","13","14","27","-16","35","10","4","0","2","109","11.9","884","14:59","2.0","0.6","2.6","8","51","6","13","31.6","NJD"
